part_number,description,quantity_mars_depot,quantity_earth_staging,next_resupply_sol,unit_cost_usd,lead_time_weeks_from_earth,notes
MSRH-RA-001,Rotor blade assembly (set of 4),1,3,320,285000,52,Flight-qualified spare. Last inspected Sol 200.
MSRH-RA-002,Upper rotor bearing assembly,0,2,320,142000,52,NOT available at Mars depot. Critical item per MA-008 and MA-010.
MSRH-RA-003,Lower rotor bearing assembly,1,2,320,138000,52,
MSRH-RA-004,Rotor shaft,0,1,320,195000,52,
MSRH-PW-001,Battery pack (primary),1,2,320,95000,40,
MSRH-PW-002,Solar panel array,0,1,320,78000,36,
MSRH-AV-001,IMU module,1,2,320,62000,28,
MSRH-AV-002,Navigation camera,1,3,320,45000,24,
MSRH-AV-003,Flight computer board,1,2,320,88000,32,
MSRH-ST-001,Landing gear strut (set of 4),1,2,320,34000,20,
MSRH-CM-001,Comm antenna assembly,0,1,320,52000,26,
MSRH-GN-001,Bearing lubricant cartridge,3,10,320,1200,12,Consumable. One cartridge per service.
MSRH-GN-002,Dust seal kit (rotor assembly),2,5,320,3400,16,Recommended replacement with bearing service.
